2023-04-17 23-32-24 top info:
Tasks: 750 total,   4 running, 744 sleeping,   0 stopped,   2 zombie
  Mem:  7703324K total,  7035380K used,   667944K free,   5562368 buffers
 Swap:  4194304K total,         0 used,  4194304K free,  2652972K cached
800%cpu 157%user   3%nice 267%sys 373%idle   0%iow   0%irq   0%sirq   0%host
   PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
  5385 u0_a71       16  -4 7.6G 181M 164M S  0.0   2.4   0:23.79 com.vivo.browser
  4986 u0_a174      20   0 6.0G 157M 134M S  0.0   2.0   0:36.28 com.google.android.gms
  4829 u0_a174      20   0 5.2G  88M  77M S  0.0   1.1   0:05.70 com.google.process.gservices
  4715 u0_a72       20   0 5.3G 104M  86M S  0.0   1.3   0:07.86 com.amap.android.location
  4634 system       20   0 5.8G 109M  92M S  0.0   1.4   0:06.56 com.vivo.connbase
  4604 nfc          20   0 5.6G 154M 138M S  0.0   2.0   0:03.57 com.android.nfc
  4564 u0_a0        20   0 5.4G 110M  97M S  0.0   1.4   0:10.47 com.android.providers.media.module
  4409 system       20   0 2.0G 3.1M 2.5M S  0.0   0.0   0:00.12 batterywarning
  4403 root         20   0 2.0G 4.5M 3.7M S  0.0   0.0   0:00.12 atcid_vendor -socket
  4255 u0_a100      20   0 5.6G 106M  95M S  0.0   1.4   0:02.35 com.vivo.magazine
  4216 radio        20   0 5.1G  69M  65M S  0.0   0.9   0:00.12 com.volte.config
  4138 radio        20   0 5.4G  88M  81M S  0.0   1.1   0:01.01 com.mediatek.ims
  4113 u0_a174      20   0 5.8G 153M 126M S  0.0   2.0   0:20.93 com.google.android.gms.persistent
  4051 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
  4029 u0_a141      20   0 5.6G  96M  86M S  0.0   1.2   0:04.16 com.bbk.updater
  3701 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
  3592 u0_a141      20   0 5.1G  90M  84M S  0.0   1.2   0:00.70 com.bbk.updater:remote
  3485 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
  3413 system       20   0 5.1G  79M  71M S  0.0   1.0   0:00.19 com.vivo.doubleinstance
  3193 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [workqueue_task]
  3192 root         20   0    0    0    0 S  0.0   0.0   0:00.13 [bt_tx_ps]
  3189 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [dpidle_task]
  3102 system       20   0 5.3G 100M  87M S  0.0   1.3   0:01.27 com.vivo.gamecube:daemon
  3059 u0_a187      20   0 5.1G 116M 107M S  0.0   1.5   0:02.07 android.ext.services
  2984 system       20   0 5.1G  77M  70M S  0.0   1.0   0:00.22 com.vivo.smartunlock
  2952 system       20   0 5.8G  97M  84M S  0.0   1.2   0:33.47 com.vivo.sps:rms
  2878 radio        20   0 6.3G 129M 108M S  0.0   1.7   0:48.53 com.android.phone
  2835 system       20   0 5.4G  98M  84M S  0.0   1.2   0:04.03 com.vivo.gamewatch
  2800 system       20   0 6.0G 153M 135M S  0.0   2.0   0:10.30 com.vivo.upslide
  2772 secure_element 20 0 5.0G  67M  63M S  0.0   0.8   0:00.10 com.android.se
  2735 system       20   0 5.3G 128M 111M S  0.0   1.7   0:02.18 com.vivo.globalanimation
  2704 system       20   0 6.0G 124M 103M S  0.0   1.6   0:14.62 com.vivo.daemonService
  2659 system       20   0 6.3G 144M 109M S  0.0   1.9   2:07.40 com.vivo.aiengine
  2625 u0_a155      20   0 5.7G 115M  96M S  0.0   1.5   0:12.61 com.vivo.pushservice
