2023-04-17 23-20-35 top info:
Tasks: 781 total,   1 running, 780 sleeping,   0 stopped,   0 zombie
  Mem:  7703324K total,  7114480K used,   588844K free,   5079040 buffers
 Swap:  4194304K total,         0 used,  4194304K free,  2623824K cached
800%cpu 130%user   0%nice 212%sys 458%idle   0%iow   0%irq   0%sirq   0%host
   PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
 31112 u0_a242       0 -20 7.3G 160M 147M S  0.0   2.1   0:07.09 com.eg.android.AlipayGphone
 31061 u0_a242      20   0 6.6G 131M 124M S  0.0   1.7   0:09.00 com.eg.android.AlipayGphone:push
 31029 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 30843 u0_a210      20   0 5.2G 116M  99M S  0.0   1.5   0:01.13 com.android.notes
 30766 u0_a162      20   0 5.1G  99M  82M S  0.0   1.3   0:00.81 com.bbk.cloud
 30692 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
 30631 u0_a154      20   0 5.5G 118M 102M S  0.0   1.5   0:03.86 com.vivo.gallery
 30484 u0_a174      20   0 5.5G 155M 129M S  0.0   2.0   0:01.42 com.google.android.gms.unstable
 30115 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [sugov:7]
 29122 u0_a253      20   0 6.4G 135M 110M S  0.0   1.7   0:04.41 com.smile.gifmaker:push_v3
 29084 u0_a213      20   0 5.1G  73M  65M S  0.0   0.9   0:00.40 com.google.android.syncadapters.contacts
 29076 root          0 -20    0    0    0 I  0.0   0.0   0:04.62 [kworker/u17:3]
 29054 radio        20   0 5.0G  76M  70M S  0.0   1.0   0:00.20 com.vivo.sim.contacts
 28980 u0_a55       20   0 5.1G  97M  82M S  0.0   1.2   0:02.19 android.process.acore
 28959 u0_a74       20   0 5.2G 101M  90M S  0.0   1.3   0:00.93 com.android.mms:smartsms
 28904 u0_a74       20   0 5.4G 114M 104M S  0.0   1.5   0:01.47 com.android.mms
 28309 u0_a203      20   0 5.6G  82M  73M S  0.0   1.0   0:00.34 com.vivo.weather
 28013 root         20   0    0    0    0 I  0.0   0.0   0:02.65 [kworker/u16:5]
 27996 root         20   0    0    0    0 I  0.0   0.0   0:02.51 [kworker/1:2]
 27964 root         20   0    0    0    0 I  0.0   0.0   0:00.05 [kworker/6:2]
 27934 root         20   0    0    0    0 I  0.0   0.0   0:03.70 [kworker/u16:2]
 27114 u0_a53       20   0 5.0G  75M  66M S  0.0   1.0   0:00.44 com.android.providers.calendar
 26607 system       20   0 5.2G  84M  78M S  0.0   1.1   0:00.44 com.android.bbklog
 25110 root         20   0    0    0    0 I  0.0   0.0   0:07.40 [kworker/u16:9]
 24698 system       20   0 5.0G  78M  72M S  0.0   1.0   0:00.35 com.mobile.cos.iroaming
 24473 u0_a147      20   0 5.1G  88M  83M S  0.0   1.1   0:00.80 com.vivo.findphone
 22808 root         20   0    0    0    0 I  0.0   0.0   0:08.92 [kworker/3:2]
 22463 u0_a99       20   0 5.3G 104M  86M S  0.0   1.3   0:04.06 com.vivo.aiservice
